"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2006";"NE";"G20";"43.295"
"2006";"NE";"G25";"949.029"
"2006";"GE";"S10";"30242.992"
"2006";"GE";"G10";"6570.613"
"2006";"GE";"G15";"17618.905"
"2006";"GE";"G20";"33.772"
"2006";"GE";"G25";"1665.323"
"2006";"JU";"S10";"5135.354"
"2006";"JU";"G10";"1253.908"
"2006";"JU";"G15";"1571.143"
"2006";"JU";"G20";"657.893"
"2006";"JU";"G25";"1523.819"
"2007";"CHE1";"S10";"664103.411"
"2007";"CHE1";"G10";"221850.42"
"2007";"CHE1";"G15";"225498.197"
"2007";"CHE1";"G20";"67492.525"
"2007";"CHE1";"G25";"94298.65"
"2007";"ZH";"S10";"128522.583"
"2007";"ZH";"G10";"52082.106"
"2007";"ZH";"G15";"52001.925"
"2007";"ZH";"G20";"8116.656"
"2007";"ZH";"G25";"5176.6"
"2007";"BE";"S10";"74529.303"
"2007";"BE";"G10";"13496.263"
"2007";"BE";"G15";"27906.035"
"2007";"BE";"G20";"17900.416"
"2007";"BE";"G25";"8798.46"
"2007";"LU";"S10";"31028.773"
"2007";"LU";"G10";"12923.809"
"2007";"LU";"G15";"7260.245"
"2007";"LU";"G20";"4236.226"
"2007";"LU";"G25";"5254.736"
"2007";"UR";"S10";"2818.328"
"2007";"UR";"G10";"1576.617"
"2007";"UR";"G15";"496.093"
"2007";"UR";"G20";"13.483"
"2007";"UR";"G25";"707.695"
"2007";"SZ";"S10";"15494.873"
"2007";"SZ";"G10";"8380.401"
"2007";"SZ";"G15";"3272.726"
"2007";"SZ";"G20";"1034.234"
"2007";"SZ";"G25";"1782.763"
"2007";"OW";"S10";"3252.615"
"2007";"OW";"G10";"2025.532"
"2007";"OW";"G15";"480.756"
"2007";"OW";"G20";"114.747"
"2007";"OW";"G25";"586.067"
"2007";"NW";"S10";"3921.3"
"2007";"NW";"G10";"2093.043"
"2007";"NW";"G15";"822.865"
"2007";"NW";"G20";"29.436"
"2007";"NW";"G25";"857.587"
